=== Circuit Statistics ===
Circuits: 730
Total width: 33331
Total FFT cost: 135187270227 (1.35e11)
Total cache hits: 72393508
Total saved cost: 57.23%
----------------------------------------------------------------------------------------------------------------------------------------------
Name                                                                               Width Sel Aux Lkp  Height     Hits FFT cost       %     %++
----------------------------------------------------------------------------------------------------------------------------------------------
is_nat_succ_ih_step                                                                   58   7  26  10     493      530   1.30e6   0.00%  99.96%
try_reduce_decide_bitvec_lt                                                          165   8  72  40     202       15   1.28e6   0.00%  99.96%
is_native_prim_addr                                                                   57   7  19  13     495        0   1.28e6   0.00%  99.96%
is_dec_prim_addr                                                                      57   7  19  13     494        0   1.28e6   0.00%  99.96%
level_imax                                                                            37   6  13   6     653     7954   1.15e6   0.00%  99.97%
convert_univ_idxs                                                                     38   2  16   7     634    17502   1.14e6   0.00%  99.97%
level_inst_params                                                                     28   5   7   5     798      914   1.11e6   0.00%  99.97%
level_list_inst                                                                       25   2   7   5     870     1878   1.09e6   0.00%  99.97%
dec_build_proof                                                                       95   8  30  22     268        0   1.04e6   0.00%  99.97%
lazy_delta_step_const_const                                                          120   6  60  22     214        0   1.00e6   0.00%  99.97%
dec_finish                                                                            90   4  32  22     267        0   9.78e5   0.00%  99.97%
get_univ                                                                              55   5  33   6     397       44   9.57e5   0.00%  99.97%
level_eq                                                                              36  10  10   5     545      133   9.11e5   0.00%  99.97%
try_eta_swap                                                                          30   4  11   4     626       59   8.95e5   0.00%  99.97%
is_bitvec_prim_addr                                                                   33   4  10   7     497        0   7.52e5   0.00%  99.97%
try_lazy_delta_app                                                                    72   6  39  10     255        0   7.43e5   0.00%  99.97%
try_normalize_int_decidable                                                           64   4  26  13     277        0   7.29e5   0.00%  99.97%
try_unfold_proj_app                                                                   31   3  11   6     499      234   7.11e5   0.00%  99.97%
get_tag2                                                                              40   2  23   5     397        0   7.00e5   0.00%  99.97%
utf8_decode_one                                                                       76   4  32  17     228        0   6.87e5   0.00%  99.98%
peel_n_foralls                                                                        21   2   7   3     662       62   6.75e5   0.00%  99.98%
address_eq_tail                                                                       84   6  66   3     204        0   6.65e5   0.00%  99.98%
check_prop_field_if_prop                                                              22   2   5   4     616       31   6.50e5   0.00%  99.98%
dec_dispatch_le_eq                                                                    47   5  14   9     321        0   6.40e5   0.00%  99.98%
peer_agree_walk                                                                      107   5  69  11     158        0   6.23e5   0.00%  99.98%
lazy_delta_both_proj                                                                  39   7  10   7     365        0   6.19e5   0.00%  99.98%
compare_struct_fields                                                                 31   3   7   5     416        0   5.76e5   0.00%  99.98%
try_bitvec_dispatch                                                                   66   6  23  15     219        0   5.70e5   0.00%  99.98%
normalize_int_dec_rebuild                                                             53   3  16  12     258        0   5.57e5   0.00%  99.98%
level_max                                                                             45   4  17   9     295      110   5.55e5   0.00%  99.98%
level_is_not_zero                                                                     27   7   7   4     431      679   5.25e5   0.00%  99.98%
try_unfold_head                                                                       33   5   4   3     359       66   5.16e5   0.00%  99.98%
get_ci_cprj                                                                          158   1 142   7      96     1019   5.03e5   0.00%  99.98%
level_max_subsumes                                                                    23   3   6   4     474       44   5.02e5   0.00%  99.98%
level_max_go                                                                          39   6  13   7     289        0   4.71e5   0.00%  99.98%
expr_lbr_let                                                                          23   1   7   7     443        0   4.64e5   0.00%  99.98%
get_mut_const_list                                                                    86   2  59   6     146       12   4.57e5   0.00%  99.98%
get_constructor_list                                                                  75   2  48   6     163       12   4.55e5   0.00%  99.98%
is_inductive_prop                                                                     24   1   9   6     414      233   4.47e5   0.00%  99.98%
level_max_offsets                                                                     47   3  18  10     235        0   4.43e5   0.00%  99.98%
check_canonical_block                                                                123   3  75  20     105        0   4.37e5   0.00%  99.98%
is_unit_like_type                                                                     60   7  34   7     189     6254   4.36e5   0.00%  99.98%
build_recur_addrs_walk                                                                71   2  51   5     158        0   4.15e5   0.00%  99.98%
check_positivity_aug                                                                  78   5  35  15     145        4   4.11e5   0.00%  99.98%
ensure_sort_only                                                                      30   2  12   5     315      111   4.03e5   0.00%  99.98%
canon_muts_has_kind                                                                   69   6  51   3     155       80   3.95e5   0.00%  99.99%
get_univ_list                                                                         53   2  24   7     192     1620   3.93e5   0.00%  99.99%
check_muts_all                                                                        66   2  48   4     158        0   3.87e5   0.00%  99.99%
k_synth_gate                                                                          71   4  30  14     144        5   3.72e5   0.00%  99.99%
k_is_def_eq_struct                                                                    12   1   2   2     622       59   3.69e5   0.00%  99.99%
normalize_aux                                                                         33   7   8   5     268       95   3.66e5   0.00%  99.99%
put_constant                                                                          90   9  14   7     114       19   3.55e5   0.00%  99.99%
glist_subset                                                                          75   5  32  16     131      267   3.50e5   0.00%  99.99%
ctor_at                                                                               86   2  72   3     117        2   3.50e5   0.00%  99.99%
check_inductive_shape_ctors                                                           52   2  17  10     175        0   3.45e5   0.00%  99.99%
projection_addr                                                                      134   4 105   9      79      105   3.37e5   0.00%  99.99%
try_k_synth_iota                                                                      59   4  18  12     149        0   3.23e5   0.00%  99.99%
check_no_dep_data_field_if_prop                                                       28   3   7   5     269        7   3.14e5   0.00%  99.99%
nl_add_var                                                                            43   4  13   9     185       33   3.06e5   0.00%  99.99%
get_ci_iprj                                                                          121   1 108   6      79     9496   3.04e5   0.00%  99.99%
wrap_foralls                                                                          22   2   6   4     314       49   2.98e5   0.00%  99.99%
check_param_agreement_go                                                              34   2  12   6     207        0   2.78e5   0.00%  99.99%
put_address                                                                          106   1  65  34      79       35   2.67e5   0.00%  99.99%
muts_member_at                                                                       108   2  94   3      77      177   2.63e5   0.00%  99.99%
check_positivity_fields                                                               26   2   6   5     244        0   2.60e5   0.00%  99.99%
put_constant_info                                                                     64   8   2   2     114        0   2.53e5   0.00%  99.99%
peel_ctor_params_subst                                                                46   3  16   8     146        2   2.47e5   0.00%  99.99%
try_nat_offset_dispatch                                                               59   4  19  14     119        0   2.46e5   0.00%  99.99%
expr_inst1_let                                                                        21   1   5   5     268        0   2.37e5   0.00%  99.99%
peel_n_lams_collect                                                                   29   3  10   4     205        0   2.36e5   0.00%  99.99%
walk_fields_classify                                                                  42   3  14   7     149        2   2.31e5   0.00%  99.99%
peel_n_foralls_with_types                                                             27   3   9   4     207        3   2.22e5   0.00%  99.99%
get_expr_let                                                                          28   1   8   5     191        0   2.09e5   0.00%  99.99%
delta_unfold                                                                          45   4  22   7     128      108   2.06e5   0.00%  99.99%
check_block_peer_param_agreement                                                      81   4  52   4      79        0   2.05e5   0.00%  99.99%
bytes_to_u64_limb                                                                     50  10  20   3     116        0   2.03e5   0.00%  99.99%
utf8_validate                                                                         21   2   6   4     229       61   1.97e5   0.00%  99.99%
expr_inst_many_let                                                                    21   1   5   5     229        0   1.97e5   0.00%  99.99%
caddr_is_peer                                                                         31   2  15   4     164       13   1.93e5   0.00%  99.99%
const_idxs_muts                                                                       76   4  53   7      78       78   1.89e5   0.00%  99.99%
check_muts_member_at                                                                  74   1  15   5      79        0   1.87e5   0.00%  99.99%
convert_constructor                                                                   57   1   6   6      96        0   1.84e5   0.00%  99.99%
const_idxs_ctors                                                                      57   2  40   5      95       76   1.81e5   0.00%  99.99%
get_constructor                                                                       55   1  41   8      96        0   1.77e5   0.00%  99.99%
bytes_to_addr                                                                         44   1  34   3     114       19   1.75e5   0.00%  99.99%
get_inductive                                                                         67   1  51   9      79        0   1.70e5   0.00%  99.99%
canon_indc_positions                                                                  67   3  50   4      78       78   1.67e5   0.00%  99.99%
level_offset_of                                                                       20   2   6   3     207      288   1.67e5   0.00%  99.99%
check_field_universes_inner                                                           29   2   8   6     153        0   1.67e5   0.00%  99.99%
compare_rules                                                                         89   4  40  16      61        0   1.63e5   0.00%  99.99%
count_ctors                                                                           51   2  38   3      95       78   1.63e5   0.00%  99.99%
try_extract_int                                                                       49   6  20   9      98      611   1.62e5   0.00%  99.99%
validate_univ_params_list                                                             20   2   4   4     202    10956   1.62e5   0.00%  99.99%
get_mut_const                                                                         62   3  48   3      79        0   1.57e5   0.00%  99.99%
glist_cmp                                                                             76   6  32  16      67      189   1.57e5   0.00%  99.99%
