program,function,names,circuit,circuit_name,circuit_members,function_main_width,circuit_main_width,canonical_seed_words,canonical_seed_bytes,guarded_u8_seed_bytes_estimate,function_expansion_canonical,circuit_expansion_canonical,static_operation_sites,static_external_read_sites,preparation_arithmetic_sites,row_operation_sites,real_rows
ixvm,539,canon_ord_then,22,ixvm_group_14,16,6,42,3,24,16,2.000000,14.000000,0,0,0,0,
ixvm,540,canon_sord_lt_strong,79,ixvm_group_54,7,2,10,1,8,8,2.000000,10.000000,2,0,0,0,
ixvm,541,canon_sord_eq_strong,79,ixvm_group_54,7,2,10,1,8,8,2.000000,10.000000,2,0,0,0,
ixvm,542,canon_sord_gt_strong,79,ixvm_group_54,7,2,10,1,8,8,2.000000,10.000000,2,0,0,0,
ixvm,543,canon_sord_then,22,ixvm_group_14,16,8,42,5,40,16,1.600000,8.400000,1,0,0,1,
ixvm,544,canon_sord_of_g,79,ixvm_group_54,7,3,10,2,16,16,1.500000,5.000000,1,0,0,0,
ixvm,545,canon_addr_cmp,29,ixvm_group_21,12,83,219,82,656,96,1.012195,2.670732,17,17,0,17,
ixvm,546,canon_addr_chunk,23,ixvm_group_15,16,11,58,10,80,24,1.100000,5.800000,19,1,0,1,
ixvm,547,canon_ctx_class_idx,21,ixvm_group_13,15,13,58,9,72,16,1.444444,6.444444,6,3,0,3,
ixvm,548,canon_ctx_cmp_addr,87,ixvm_group_62,10,16,56,10,80,24,1.600000,5.600000,10,9,0,9,
ixvm,549,canon_cmp_kuniv,87,ixvm_group_62,10,28,56,12,96,24,2.333333,4.666667,26,14,0,14,
ixvm,550,canon_cmp_kuniv_list,83,ixvm_group_58,5,16,55,12,96,24,1.333333,4.583333,9,6,0,6,
ixvm,551,canon_cmp_kliteral,23,ixvm_group_15,16,10,58,6,48,16,1.666667,9.666667,4,2,0,2,
ixvm,552,canon_cmp_klimbs,87,ixvm_group_62,10,11,56,9,72,16,1.222222,6.222222,6,6,0,6,
ixvm,553,canon_cmp_klimbs_tail,26,ixvm_group_18,16,28,101,26,208,40,1.076923,3.884615,6,5,0,5,
ixvm,554,canon_cmp_u64_lex,77,ixvm_group_52,9,33,89,32,256,40,1.031250,2.781250,15,15,0,15,
ixvm,555,canon_cmp_bytes,83,ixvm_group_58,5,16,55,12,96,24,1.333333,4.583333,9,6,0,6,
ixvm,556,canon_cmp_kexpr_ctx,21,ixvm_group_13,15,17,58,14,112,24,1.214286,4.142857,5,4,1,5,
ixvm,557,canon_cmp_kexpr_node_ctx,165,canon_cmp_kexpr_node_ctx,1,61,61,21,168,32,2.904762,2.904762,61,61,0,61,
ixvm,558,canon_cmp_krec_rule_ctx,18,ixvm_group_10,16,16,63,15,120,24,1.066667,4.200000,4,4,0,4,
ixvm,559,canon_cmp_krec_rule_list_ctx,75,ixvm_group_50,11,24,62,20,160,32,1.200000,3.100000,9,9,0,9,
ixvm,560,canon_kind_ord,18,ixvm_group_10,16,21,63,13,104,24,1.615385,4.846154,8,0,0,0,
ixvm,561,canon_cmp_member_ctx,20,ixvm_group_12,16,34,106,31,248,40,1.096774,3.419355,5,5,0,5,
ixvm,562,canon_cmp_member_same_kind_ctx,29,ixvm_group_21,12,70,219,62,496,72,1.129032,3.532258,50,49,1,49,
ixvm,563,canon_cmp_ctor_range_ctx,24,ixvm_group_16,16,43,114,40,320,48,1.075000,2.850000,11,8,3,9,
ixvm,564,canon_cmp_ctor_pair_ctx,29,ixvm_group_21,12,51,219,48,384,56,1.062500,4.562500,21,21,0,21,
ixvm,565,canon_cprj_addr,67,ixvm_group_42,9,27,85,26,208,40,1.038462,3.269231,18,8,10,8,
ixvm,566,canon_member_ci,21,ixvm_group_13,15,18,58,17,136,24,1.058824,3.411765,3,3,0,3,
ixvm,567,canon_member_num_ctors,21,ixvm_group_13,15,18,58,15,120,24,1.200000,3.866667,2,1,0,1,
